epc,rssi,timestamp,reader,antenna
18412345,-49,2026-04-18 22:22:29.026,192.168.1.10,1,CP
18412345,-49,2026-04-18 22:22:29.047,192.168.1.10,1,CP
18412345,-48,2026-04-18 22:22:29.084,192.168.1.10,1,CP
18412345,-48,2026-04-18 22:22:29.103,192.168.1.10,1,CP
18412345,-49,2026-04-18 22:22:29.126,192.168.1.10,1,CP
18412345,-49,2026-04-18 22:22:29.153,192.168.1.10,1,CP
18412345,-49,2026-04-18 22:22:29.175,192.168.1.10,1,CP
18412345,-49,2026-04-18 22:22:29.201,192.168.1.10,1,CP
18412345,-49,2026-04-18 22:22:29.222,192.168.1.10,1,CP
18412345,-49,2026-04-18 22:22:29.250,192.168.1.10,1,CP
18412345,-49,2026-04-18 22:22:29.270,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:29.305,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:29.325,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:29.354,192.168.1.10,1,CP
18412345,-52,2026-04-18 22:22:29.384,192.168.1.10,1,CP
18412345,-52,2026-04-18 22:22:29.405,192.168.1.10,1,CP
18412345,-53,2026-04-18 22:22:29.433,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:29.455,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:29.490,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:29.510,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:29.540,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:29.562,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:29.589,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:29.607,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:29.635,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:29.655,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:29.684,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:29.706,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:29.734,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:29.753,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:29.781,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:29.803,192.168.1.10,1,CP
18412345,-53,2026-04-18 22:22:29.833,192.168.1.10,1,CP
18412345,-53,2026-04-18 22:22:29.853,192.168.1.10,1,CP
18412345,-53,2026-04-18 22:22:29.877,192.168.1.10,1,CP
18412345,-53,2026-04-18 22:22:29.900,192.168.1.10,1,CP
18412345,-53,2026-04-18 22:22:29.927,192.168.1.10,1,CP
18412345,-53,2026-04-18 22:22:29.950,192.168.1.10,1,CP
18412345,-53,2026-04-18 22:22:29.975,192.168.1.10,1,CP
18412345,-53,2026-04-18 22:22:29.995,192.168.1.10,1,CP
18412345,-53,2026-04-18 22:22:30.024,192.168.1.10,1,CP
18412345,-53,2026-04-18 22:22:30.045,192.168.1.10,1,CP
18412345,-53,2026-04-18 22:22:30.068,192.168.1.10,1,CP
18412345,-53,2026-04-18 22:22:30.104,192.168.1.10,1,CP
18412345,-53,2026-04-18 22:22:30.124,192.168.1.10,1,CP
18412345,-53,2026-04-18 22:22:30.151,192.168.1.10,1,CP
18412345,-52,2026-04-18 22:22:30.172,192.168.1.10,1,CP
18412345,-52,2026-04-18 22:22:30.202,192.168.1.10,1,CP
18412345,-52,2026-04-18 22:22:30.222,192.168.1.10,1,CP
18412345,-52,2026-04-18 22:22:30.250,192.168.1.10,1,CP
18412345,-52,2026-04-18 22:22:30.275,192.168.1.10,1,CP
18412345,-51,2026-04-18 22:22:30.308,192.168.1.10,1,CP
18412345,-51,2026-04-18 22:22:30.329,192.168.1.10,1,CP
18412345,-51,2026-04-18 22:22:30.357,192.168.1.10,1,CP
18412345,-51,2026-04-18 22:22:30.377,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:30.406,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:30.426,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:30.452,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:30.474,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:30.510,192.168.1.10,1,CP
